#AllowSameLineComments	docs/commands/_AllowSameLineComments.htm
#ClipboardTimeout	docs/commands/_ClipboardTimeout.htm
#CommentFlag	docs/commands/_CommentFlag.htm
#Delimiter	docs/commands/_EscapeChar.htm#Delimiter
#DerefChar	docs/commands/_EscapeChar.htm#DerefChar
find a string	docs/commands/StringGetPos.htm
find a window	docs/commands/IfWinExist.htm
floating point (check if it is one)	docs/commands/IfIs.htm
floating point (SetFormat)	docs/commands/SetFormat.htm
Floor()	docs/Functions.htm#Floor
focus	docs/commands/ControlFocus.htm
folder/directory copy	docs/commands/FileCopyDir.htm
folder/directory create	docs/commands/FileCreateDir.htm
folder/directory move	docs/commands/FileMoveDir.htm
folder/directory remove	docs/commands/FileRemoveDir.htm
folder/directory select	docs/commands/FileSelectFolder.htm
Fonts	docs/misc/FontsStandard.htm
For-loop	docs/commands/For.htm
format, numbers	docs/commands/SetFormat.htm
FormatTime	docs/commands/FormatTime.htm
free space	docs/commands/DriveSpaceFree.htm
FTP uploading example	docs/commands/FileAppend.htm#FTP
functions (defining and calling)	docs/Functions.htm
Functions (libraries)	docs/Functions.htm#lib
Func()	docs/Objects.htm#Function_References
g-label (responding to GUI events)	docs/commands/Gui.htm#label
game automation	docs/commands/PixelSearch.htm
GetAddress()	http://www.autohotkey.net/~Lexikos/AutoHotkey_L/docs/objects/Object.htm#GetAddress
GetCapacity()	docs/objects/Object.htm#GetCapacity
GetKeyName()	docs/Functions.htm#GetKeyName
GetKeySC()	docs/Functions.htm#GetKeyName
GetKeyState	docs/commands/GetKeyState.htm
GetKeyState()	docs/Functions.htm#GetKeyState
GetKeyVK()	docs/Functions.htm#GetKeyName
global variables in functions	docs/Functions.htm#Global
Gosub	docs/commands/Gosub.htm
Goto	docs/commands/Goto.htm
GroupActivate	docs/commands/GroupActivate.htm
GroupAdd	docs/commands/GroupAdd.htm
GroupBox controls (GUI)	docs/commands/GuiControls.htm#GroupBox
GroupClose	docs/commands/GroupClose.htm
GroupDeactivate	docs/commands/GroupDeactivate.htm
Gui	docs/commands/Gui.htm
Gui control types	docs/commands/GuiControls.htm
Gui styles reference	docs/misc/Styles.htm
GuiClose (label)	docs/commands/Gui.htm#GuiClose
GuiContextMenu (label)	docs/commands/Gui.htm#GuiContextMenu
GuiControl	docs/commands/GuiControl.htm
GuiControlGet	docs/commands/GuiControlGet.htm
GuiDropFiles (label)	docs/commands/Gui.htm#GuiDropFiles
GuiEscape (label)	docs/commands/Gui.htm#GuiEscape
GuiSize (label)	docs/commands/Gui.htm#GuiSize
HasKey()	docs/objects/Object.htm#HasKey
hexadecimal format	docs/commands/SetFormat.htm
hibernate or suspend	docs/commands/Shutdown.htm#Suspend
hidden text	docs/commands/DetectHiddenText.htm
hidden windows	docs/commands/DetectHiddenWindows.htm
HKEY_CLASSES_ROOT	docs/commands/RegRead.htm
HKEY_CURRENT_CONFIG	docs/commands/RegRead.htm
HKEY_CURRENT_USER	docs/commands/RegRead.htm
HKEY_LOCAL_MACHINE	docs/commands/RegRead.htm
HKEY_USERS	docs/commands/RegRead.htm
hook	docs/commands/_InstallKeybdHook.htm
Hotkey	docs/Hotkeys.htm
Hotkeys	docs/Hotkeys.htm
Hotkey command	docs/commands/Hotkey.htm
Hotkey controls (GUI)	docs/commands/GuiControls.htm#Hotkey
Hotkey, ListHotkeys	docs/commands/ListHotkeys.htm
Hotkey, other features	docs/HotkeyFeatures.htm
HotkeyInterval	docs/commands/_HotkeyInterval.htm
HotkeyModifierTimeout	docs/commands/_HotkeyModifierTimeout.htm
hotstrings and auto-replace	docs/Hotstrings.htm
HTML color names	docs/commands/Progress.htm#colors
HWND (of a control)	docs/commands/ControlGet.htm#Hwnd
HWND (of a window)	docs/LastFoundWindow.htm#id
icon, changing	docs/commands/Menu.htm#Icon
ID number for a window	docs/commands/WinGet.htm
If	docs/commands/IfEqual.htm
If (expression)	docs/commands/IfExpression.htm
If var [not] between Low and High	docs/commands/IfBetween.htm
If var [not] in/contains MatchList	docs/commands/IfIn.htm
If var is [not] type	docs/commands/IfIs.htm
IfEqual	docs/commands/IfEqual.htm
IfExist	docs/commands/IfExist.htm
IfGreater	docs/commands/IfEqual.htm
IfGreaterOrEqual	docs/commands/IfEqual.htm
IfInString	docs/commands/IfInString.htm
IfLess	docs/commands/IfEqual.htm
IfLessOrEqual	docs/commands/IfEqual.htm
IfMsgBox	docs/commands/IfMsgBox.htm
IfNotEqual	docs/commands/IfEqual.htm
IfNotExist	docs/commands/IfExist.htm
IfNotInString	docs/commands/IfInString.htm
IfWinActive	docs/commands/IfWinActive.htm
IfWinExist	docs/commands/IfWinExist.htm
IfWinNotActive	docs/commands/IfWinActive.htm
IfWinNotExist	docs/commands/IfWinExist.htm
